,nta_code,pop,households,age_less_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_plus,median_hh_income,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,below_poverty,edu_none,edu_high_school,edu_college,commute_walk,commute_public,commute_car,health_insurance_coverage,disability,not_us_citizen,lang_spanish,lang_chinese,lang_russian,lang_indic,lang_french_creole,lang_korean,homeval_less_50,homeval_50_to_100,homeval_100_to_150,homeval_150_to_200,homeval_200_to_300,homeval_300_to_500,homeval_500_to_1m,homeval_1m_plus,rent_less_500,rent_500_to_1000,rent_1000_to_1500,rent_1500_to_2000,rent_2000_to_2500,rent_2500_to_3000,rent_3000_plus,average_hh_size
152,QN55,75878,22416,4463,4701,5165,5908,6053,5473,5024,5287,6027,6242,5870,4678,3690,7297,57849,1230,982,2229,2324,3172,4040,3006,3292,1259,882,12117,15062,19127,13985,1415,18422,18418,74159,9068,17089,5237,311,14,1768,194,61,384,112,134,92,1055,8454,3731,177,231,1115,3338,2358,418,52,32,3.85
153,QN02,25409,10266,1422,1414,1542,1797,1656,1528,1570,1577,1831,1964,1895,1694,1659,3860,51341,629,494,1215,1120,1526,1879,1551,1260,446,146,2403,2437,5822,6571,472,5626,6076,25619,3803,1689,57,31,0,0,310,0,405,153,64,18,265,1922,788,59,116,2107,3625,630,83,24,0,2.58
154,QN03,20132,5832,1453,1337,1456,1567,1586,1497,1378,1270,1424,1591,1425,1098,953,2097,79042,201,245,191,386,511,1235,909,1364,588,202,2655,1958,4042,4253,223,4143,4966,19947,2126,2707,420,26,0,0,417,0,138,19,0,35,360,2241,827,49,0,290,513,902,331,37,8,3.5
155,BX29,30161,13182,1807,1467,1312,1406,1901,2005,2258,2010,1956,1921,1945,1919,1976,6278,67534,768,679,1119,837,1595,2117,1783,2188,1024,1072,3814,3042,4159,12452,1111,7567,4938,28215,3119,3433,3097,266,241,64,7,92,170,192,353,721,894,1525,746,165,753,1239,2794,2285,644,330,161,2.3
156,QN08,48593,15694,2799,2943,3325,3825,3619,3098,2910,3012,3421,3935,3764,2929,2529,6484,69975,667,520,1359,1227,1860,2795,2437,3160,1024,645,4929,4409,11396,11862,539,11374,13160,48866,5431,6264,842,48,11,11,1044,19,360,35,104,53,1003,7942,1391,79,164,804,1865,1383,209,127,4,3.44
157,SI37,26453,9370,1827,1875,1822,1937,1970,1907,1938,1772,1860,1896,1912,1579,1227,2931,56462,911,420,1193,886,957,1284,1172,1427,762,358,5735,3707,5508,5690,442,4938,5442,22523,2932,3915,2714,646,303,270,171,119,83,31,85,133,737,2763,490,140,848,1010,1751,823,254,61,8,2.74
158,BK93,13354,6322,634,656,795,910,844,736,742,689,743,789,830,756,805,3425,27397,1235,1015,757,498,1187,1007,336,201,28,58,3837,2320,2889,2670,185,2375,1514,11666,3258,719,395,180,1622,0,210,41,0,12,0,0,0,60,63,0,2662,823,1889,702,120,0,12,1.92
159,QN72,47534,19936,2249,1833,1773,1849,3529,6395,5404,4045,3409,2980,2939,2469,2190,6470,60618,1354,766,1790,1627,2492,4171,2427,3249,1286,774,5010,5164,7683,19570,1829,16892,6574,42942,4421,6784,3142,432,52,844,12,210,82,60,36,104,313,785,3845,472,364,1281,4098,5393,1652,626,168,2.44
160,BK35,63504,24825,4290,4158,4424,4987,5316,5466,4908,4371,4511,4736,4172,3304,2739,6122,37082,4314,2240,3013,2425,3078,3385,2368,2476,837,689,19154,9311,12834,14889,1242,20313,4905,60174,7330,6231,3809,236,39,287,138,22,196,210,72,79,148,1165,3138,1330,3599,4258,5423,3397,1317,340,257,2.61
161,MN50,21049,10414,794,557,493,449,2856,3138,1718,1124,1111,1206,1222,1365,1290,3726,95022,747,513,460,484,742,893,1708,2159,1117,1591,2289,241,761,13847,2361,7893,1061,20404,1839,1807,39,178,47,176,0,305,0,0,0,0,0,0,0,0,69,50,2089,3415,1336,388,3133,2.05
162,BK34,72340,20290,5949,5172,4362,4832,6323,7374,6586,5682,4889,4835,4311,3606,2757,5662,35636,2037,1824,3572,2550,3340,3111,1926,1221,482,227,25560,25234,9466,8497,5423,19097,5380,59361,5752,27387,11230,25298,368,518,0,57,48,217,103,174,290,731,2058,653,977,3537,6579,3612,536,55,0,3.6
163,BK32,54041,16697,3841,3381,3054,3531,5003,6214,5385,4442,3935,3441,2959,2439,2068,4348,44165,1601,1072,2057,2111,2330,2859,1600,1972,539,556,16291,15040,8752,10987,3289,17917,3838,43122,5264,16711,18364,4670,315,233,20,73,256,86,22,50,164,522,1960,734,946,2196,4738,3520,1014,181,114,3.28
164,SI24,30714,11300,1498,1595,1818,1962,1821,1802,1754,1835,2103,2239,2374,2354,2234,5325,80761,432,401,604,813,1279,1799,1397,2346,1162,1067,2695,2376,7071,10169,257,3214,10300,29544,3389,2399,356,926,348,24,15,638,193,42,118,94,948,3142,3447,929,133,499,976,586,267,65,43,2.72
165,MN19,51231,29006,1849,1076,761,993,3523,6966,5430,4026,3284,3092,3159,3463,3691,9918,113998,1382,529,1664,932,1975,3140,3345,5214,2669,8156,2613,828,2065,35843,12733,12522,2861,47857,3722,5399,266,471,49,39,0,180,84,47,95,68,538,2279,5123,4702,315,751,1527,2801,2980,2244,5128,1.68
166,BX36,54188,18103,4350,4300,4348,5154,4757,4164,3694,3408,3789,3983,3566,2805,2147,3723,25073,4014,2060,2957,2468,2550,2295,1024,556,163,16,23953,10379,9677,6886,1551,13712,3767,48338,9022,11474,15444,0,0,364,98,0,34,16,29,4,64,331,305,4,4174,4378,7280,1910,108,8,8,2.85
167,MN40,61207,28745,3174,3136,3003,2277,2339,3690,3537,3637,4186,4142,4214,4172,4943,14757,155213,1240,270,1105,998,1229,2623,2549,4076,2709,11946,3061,814,2387,40135,5566,14325,2951,57516,4633,4739,457,170,116,0,0,51,243,60,40,0,130,701,3201,12565,266,683,1246,2241,2188,2262,2196,2.01
168,MN12,132378,66482,7197,5482,4817,4338,6600,11971,11292,10406,10004,9557,9393,9469,9283,22569,92268,5054,2829,4048,3912,5523,7655,6109,9962,6359,15031,14481,7660,8766,81226,6039,51982,5738,125732,13609,14070,6391,1322,330,68,360,287,313,148,247,47,417,1595,6669,11075,4627,7642,7465,6617,6831,4933,5885,2.0
